--------------  ----------  ---------------------
file            len_clique  time
brock200_1      18          0.3958547115325928
brock200_2      9           0.10424184799194336
brock200_3      12          0.17116713523864746
brock200_4      15          0.23060393333435059
brock400_1      22          2.6743338108062744
brock400_2      21          2.7752206325531006
brock400_3      22          2.7104079723358154
brock400_4      22          2.754518985748291
C125.9          32          0.43024230003356934
gen200_p0.9_44  37          1.8294544219970703
gen200_p0.9_55  39          1.5392844676971436
hamming8-4      15          0.30274081230163574
johnson16-2-4   7           0.061699867248535156
johnson8-2-4    3           0.0006401538848876953
keller4         10          0.15955328941345215
MANN_a27        124         57.3802444934845
MANN_a9         15          0.021726369857788086
p_hat1000-1     8           2.5421152114868164
p_hat1000-2     43          29.514338731765747
p_hat1500-1     9           9.549205541610718
p_hat300-3      33          2.275541305541992
p_hat500-3      46          11.464813709259033
san1000         9           13.549288034439087
sanr200_0.9     39          1.6084885597229004
sanr400_0.7     18          2.079657793045044
--------------  ----------  ---------------------
